"Timestamp","1️⃣ Age Group:","2️⃣ Gender:","3️⃣ Current Education Level:","4️⃣ On a scale of 1 to 5, how stressed do you feel about academics? (1 = Not Stressed, 5 = Extremely Stressed)  ","5️⃣ How many hours per day do you spend on academic work (assignments, studying, lectures, etc.)?  ","6️⃣ What are the biggest academic stressors for you? (Select all that apply)  ","7️⃣ On average, how many hours of sleep do you get per night?  ","8️⃣ Do you engage in any of the following habits regularly? (Select all that apply)  ","9️⃣ How often do you feel overwhelmed by stress?  ","🔟 When feeling stressed or anxious, what helps you the most? (Select all that apply)  ","1️⃣1️⃣ Would you be interested in a WhatsApp chatbot that provides instant mental health tips?  ","1️⃣2️⃣ Would you like to receive personalized mental health insights based on your responses?  ","1️⃣3️⃣ What kind of support do you think would help improve student mental health? (Select all that apply)  ",""
"2025/02/19 12:06:04 PM GMT+5:30","19-21","Non-binary / Prefer not to say","High School","3️⃣","Less than 2 hours","Exams & Tests","4-6 hours","Meditation or mindfulness practices","Often (Several times a week)","Talking to a friend or family member","No, I don’t think I’d use it.","No","Easy access to counseling services",""
"2025/02/19 12:06:12 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Postgraduate","2️⃣","Less than 2 hours","Exams & Tests","4-6 hours","Meditation or mindfulness practices","Rarely (Almost never)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:06:21 PM GMT+5:30","22-25","Non-binary / Prefer not to say","Undergraduate","4️⃣","More than 6 hours","Exams & Tests","Less than 4 hours","Socializing with friends/family","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Easy access to counseling services",""
"2025/02/19 12:06:29 PM GMT+5:30","22-25","Female","Undergraduate","5️⃣","2-4 hours","Competitive Environment","4-6 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Taking short breaks or naps","Yes, I would love that!","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 12:06:37 PM GMT+5:30","26+","Non-binary / Prefer not to say","Undergraduate","4️⃣","More than 6 hours","Lack of Time Management","4-6 hours","Healthy eating habits","Always (Every day)","Exercising or engaging in a hobby","Yes, I would love that!","No","Easy access to counseling services",""
"2025/02/19 12:06:45 PM GMT+5:30","26+","Female","High School","5️⃣","4-6 hours","Maintaining Good Grades","More than 8 hours","Meditation or mindfulness practices","Often (Several times a week)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:06:53 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Postgraduate","4️⃣","More than 6 hours","Exams & Tests","4-6 hours","Meditation or mindfulness practices","Rarely (Almost never)","Exercising or engaging in a hobby","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 12:07:01 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","3️⃣","Less than 2 hours","Exams & Tests","4-6 hours","Socializing with friends/family","Sometimes (A few times a month)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:07:09 PM GMT+5:30","26+","Male","High School","1️⃣","2-4 hours","Competitive Environment","6-8 hours","Meditation or mindfulness practices","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 12:07:17 PM GMT+5:30","19-21","Female","High School","5️⃣","Less than 2 hours","Lack of Time Management","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 12:07:25 PM GMT+5:30","19-21","Male","Postgraduate","3️⃣","More than 6 hours","Lack of Time Management","6-8 hours","Healthy eating habits","Sometimes (A few times a month)","Taking short breaks or naps","Maybe, I’m curious.","No","More mental health awareness in schools/universities",""
"2025/02/19 12:07:33 PM GMT+5:30","16-18","Non-binary / Prefer not to say","High School","5️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Meditation or mindfulness practices","Always (Every day)","Taking short breaks or naps","Yes, I would love that!","Yes","Easy access to counseling services",""
"2025/02/19 12:07:41 PM GMT+5:30","26+","Non-binary / Prefer not to say","Undergraduate","3️⃣","More than 6 hours","Competitive Environment","Less than 4 hours","Healthy eating habits","Sometimes (A few times a month)","Using social media to distract myself","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:07:49 PM GMT+5:30","22-25","Male","Postgraduate","2️⃣","More than 6 hours","Maintaining Good Grades","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","Relaxation spaces in academic institutions",""
"2025/02/19 12:07:57 PM GMT+5:30","22-25","Female","Postgraduate","1️⃣","Less than 2 hours","Assignments & Deadlines","Less than 4 hours","Socializing with friends/family","Rarely (Almost never)","Talking to a friend or family member","No, I don’t think I’d use it.","Yes","Easy access to counseling services",""
"2025/02/19 12:08:05 PM GMT+5:30","26+","Female","Undergraduate","2️⃣","Less than 2 hours","Assignments & Deadlines","4-6 hours","Meditation or mindfulness practices","Rarely (Almost never)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Easy access to counseling services",""
"2025/02/19 12:08:13 PM GMT+5:30","22-25","Non-binary / Prefer not to say","Postgraduate","4️⃣","More than 6 hours","Lack of Time Management","6-8 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Talking to a friend or family member","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 12:08:21 PM GMT+5:30","16-18","Male","Undergraduate","2️⃣","2-4 hours","Assignments & Deadlines","More than 8 hours","Listening to music/podcasts for relaxation","Always (Every day)","Using social media to distract myself","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 12:08:29 PM GMT+5:30","26+","Non-binary / Prefer not to say","Postgraduate","2️⃣","Less than 2 hours","Lack of Time Management","6-8 hours","Healthy eating habits","Rarely (Almost never)","Taking short breaks or naps","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 12:08:37 PM GMT+5:30","22-25","Female","High School","1️⃣","4-6 hours","Exams & Tests","4-6 hours","Regular exercise or physical activity","Rarely (Almost never)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","More mental health awareness in schools/universities",""
"2025/02/19 12:10:39 PM GMT+5:30","22-25","Non-binary / Prefer not to say","High School","2️⃣","Less than 2 hours","Competitive Environment","4-6 hours","Healthy eating habits","Always (Every day)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 12:10:48 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","5️⃣","2-4 hours","Maintaining Good Grades","More than 8 hours","Meditation or mindfulness practices","Always (Every day)","Using social media to distract myself","Yes, I would love that!","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 12:10:56 PM GMT+5:30","26+","Female","High School","4️⃣","More than 6 hours","Lack of Time Management","More than 8 hours","Healthy eating habits","Always (Every day)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","Easy access to counseling services",""
"2025/02/19 12:11:04 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","4️⃣","2-4 hours","Competitive Environment","Less than 4 hours","Socializing with friends/family","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:11:12 PM GMT+5:30","22-25","Female","Undergraduate","1️⃣","4-6 hours","Maintaining Good Grades","6-8 hours","Regular exercise or physical activity","Often (Several times a week)","Using social media to distract myself","Yes, I would love that!","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 12:11:20 PM GMT+5:30","16-18","Female","High School","4️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Meditation or mindfulness practices","Often (Several times a week)","Using social media to distract myself","No, I don’t think I’d use it.","No","Relaxation spaces in academic institutions",""
"2025/02/19 12:11:29 PM GMT+5:30","26+","Male","Postgraduate","2️⃣","4-6 hours","Competitive Environment","Less than 4 hours","Socializing with friends/family","Often (Several times a week)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 12:11:37 PM GMT+5:30","16-18","Male","High School","4️⃣","2-4 hours","Maintaining Good Grades","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","Yes","More mental health awareness in schools/universities",""
"2025/02/19 12:11:45 PM GMT+5:30","19-21","Female","Undergraduate","3️⃣","4-6 hours","Maintaining Good Grades","Less than 4 hours","Healthy eating habits","Often (Several times a week)","Talking to a friend or family member","Maybe, I’m curious.","No","Easy access to counseling services",""
"2025/02/19 12:11:53 PM GMT+5:30","16-18","Female","Undergraduate","5️⃣","More than 6 hours","Assignments & Deadlines","4-6 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Taking short breaks or naps","No, I don’t think I’d use it.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:12:01 PM GMT+5:30","16-18","Male","Postgraduate","3️⃣","2-4 hours","Lack of Time Management","4-6 hours","Healthy eating habits","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 12:12:09 PM GMT+5:30","22-25","Female","Undergraduate","1️⃣","Less than 2 hours","Maintaining Good Grades","More than 8 hours","Listening to music/podcasts for relaxation","Rarely (Almost never)","Using social media to distract myself","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 12:12:17 PM GMT+5:30","19-21","Non-binary / Prefer not to say","High School","4️⃣","Less than 2 hours","Exams & Tests","6-8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:12:26 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","5️⃣","2-4 hours","Assignments & Deadlines","6-8 hours","Healthy eating habits","Often (Several times a week)","Exercising or engaging in a hobby","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:12:33 PM GMT+5:30","19-21","Female","High School","5️⃣","2-4 hours","Maintaining Good Grades","4-6 hours","Socializing with friends/family","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 12:12:41 PM GMT+5:30","26+","Male","Undergraduate","5️⃣","More than 6 hours","Competitive Environment","6-8 hours","Meditation or mindfulness practices","Rarely (Almost never)","Talking to a friend or family member","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 12:12:49 PM GMT+5:30","22-25","Non-binary / Prefer not to say","High School","1️⃣","More than 6 hours","Maintaining Good Grades","4-6 hours","Healthy eating habits","Always (Every day)","Using social media to distract myself","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 12:12:57 PM GMT+5:30","19-21","Female","Undergraduate","1️⃣","4-6 hours","Exams & Tests","6-8 hours","Socializing with friends/family","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 12:13:05 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Postgraduate","4️⃣","Less than 2 hours","Maintaining Good Grades","4-6 hours","Regular exercise or physical activity","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","Yes","More mental health awareness in schools/universities",""
